0,"(0.8, 1)",7976579,0,19331106,257.55087780952454
1,"(0.2, 25)",0,4017220,0,44.89116430282593
1,"(0.1, 10)",16916,3848060,56611,45.222914934158325
1,"(0.8, 10)",26698,3750240,83555,45.317442178726196
1,"(0.2, 10)",19286,3824360,63867,45.36060857772827
1,"(0.2, 5)",436118,1023575,1771555,49.802608489990234
1,"(0.1, 5)",409056,1232419,1647675,49.83668899536133
1,"(0.8, 5)",522761,337308,2131770,50.56749892234802
1,"(0.1, 1)",1114407,0,4017220,53.3870108127594
1,"(0.2, 1)",977388,0,4017220,53.44106101989746
1,"(0.8, 1)",543470,0,4017220,53.800666093826294
1,"(0.1, 25)",0,4017220,0,46.180017948150635
1,"(0.05, 10)",14569,3871530,48961,47.60867142677307
1,"(0.05, 5)",379926,1452683,1516070,52.039116621017456
1,"(0.01, 10)",8447,3932750,28907,48.48733305931091
1,"(0.01, 25)",0,4017220,0,47.47426772117615
1,"(0.01, 5)",293284,2088984,1111590,51.7325005531311
1,"(0.05, 1)",1263714,0,4017220,56.55493950843811
1,"(0.01, 1)",1721855,0,4017220,55.77505302429199
2,"(0.8, 5)",383909,211091,4731588,96.44764494895935
2,"(0.8, 1)",351477,0,6966762,97.97659873962402
2,"(0.8, 10)",300007,1498275,2684231,91.1972324848175
2,"(0.2, 25)",29569,6011868,277711,87.44440817832947
2,"(0.2, 10)",253919,2477008,2260404,93.20445466041565
2,"(0.2, 5)",388289,1159775,4064784,96.30944991111755
2,"(0.2, 1)",1104050,0,6966762,100.92394304275513
2,"(0.1, 5)",382219,1454952,3838330,95.37322688102722
2,"(0.1, 10)",239010,2781849,2106481,92.56062030792236
2,"(0.1, 1)",1341953,0,6966762,101.46005082130432
3,"(0.8, 1)",32651,0,2254458,33.80688261985779
3,"(0.8, 5)",40974,39864,1682535,32.50266647338867
2,"(0.1, 25)",27145,6093873,254564,86.85953497886658
2,"(0.05, 1)",1599922,0,6966762,98.5579149723053
3,"(0.8, 10)",43717,242317,1182203,32.180391788482666
3,"(0.2, 1)",264148,0,2254458,33.44827198982239
3,"(0.2, 5)",59166,304847,1470475,31.920957565307617
2,"(0.05, 5)",373837,1771325,3592103,96.37276196479797
2,"(0.05, 10)",222553,3106258,1937026,92.14222311973572
3,"(0.2, 10)",44410,551116,1011868,30.506073474884033
